split,caseid
train,1072509
train,1083663
train,1058709
train,1058252
train,1042186
train,1063126
train,1018571
train,1026480
train,1064703
train,1043857
train,1012048
train,1035730
train,1073844
train,1065164
train,1031353
train,1024332
train,1060442
train,1054159
train,1073431
train,1047766
train,1082969
train,1058412
train,1044881
train,1065207
train,1038422
train,1057444
train,1080164
train,1047119
train,1030260
train,1008529
train,1043936
train,1031778
train,1042287
train,1034037
train,1001739
train,1051163
train,1047517
train,1066408
train,1060639
train,1002551
train,1019355
train,1060138
train,1011684
train,1058170
train,1033722
train,1019815
train,1018826
train,1045063
train,1043922
train,1042863
train,1060161
train,1031645
train,1056929
train,1041358
train,1023711
train,1027609
train,1056600
train,1040795
train,1011176
train,1052153
train,1044210
train,1074651
train,1016710
train,1053859
train,1068520
train,1024098
train,1010944
train,1051733
train,1016549
train,1069684
train,1080076
train,1076684
train,1076587
train,1074525
train,1046394
train,1062752
train,1059766
train,1026107
train,1034257
train,1025630
train,1023553
train,1002056
train,1013946
train,1074206
train,1075082
train,1012473
train,1000853
train,1038599
train,1067532
train,1067576
train,1040873
train,1043716
train,1057894
train,1009544
train,1064947
train,1062678
train,1025190
train,1071832
train,1022378
train,1067410
train,1072174
train,1061657
train,1016775
train,1056046
train,1051510
train,1022407
train,1019896
train,1012755
train,1022231
train,1076190
train,1047313
train,1081318
train,1025346
train,1061615
train,1019532
train,1010808
train,1002586
train,1024599
train,1044755
train,1001870
train,1056834
train,1034768
train,1005186
train,1019987
train,1014116
train,1035237
train,1011501
train,1036461
train,1023195
train,1018656
train,1076383
train,1062799
train,1060556
train,1054123
train,1064052
train,1061050
train,1058584
train,1076125
train,1068402
train,1039427
train,1062112
train,1006210
train,1067363
train,1043974
train,1023179
train,1048783
train,1080979
train,1031518
train,1010071
train,1021953
train,1026463
train,1024796
train,1020547
train,1078374
train,1013381
train,1005396
train,1024422
train,1008573
train,1055200
train,1021123
train,1036066
train,1023947
train,1011795
train,1027848
train,1008735
train,1053107
train,1061454
train,1067023
train,1044908
train,1060257
train,1051900
train,1068551
train,1014996
train,1039213
train,1024284
train,1020165
train,1049837
train,1058622
train,1034270
train,1069955
train,1023137
train,1002394
train,1003064
train,1028938
train,1019716
train,1043059
train,1080149
train,1027147
